left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trade_count,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
25,20,0.012,30,3,10,25,1.5,968.3333333333334,42.76985743380855,1.1209964412811388,0.1742759074168892,1850.0,6.924643584521385,491,"{'1yil.csv': 750.0, '2yil.csv': 350.0, '3yil.csv': 2300.0}",0.17377756471716208,0.9242282507015903,0.6058208087706168,0.5811137962625951,0.4375681627857271,1.0,0.6058208087706165,125.4121149108137,79.0,12.0,49.0,49.0,75.0,1.0,49.0
25,20,0.012,15,2,15,30,1.5,565.0,42.295081967213115,1.0994318181818181,0.13621573470446616,1950.0,5.737704918032787,305,"{'1yil.csv': 1350.0, '2yil.csv': 250.0, '3yil.csv': 150.0}",0.11577181208053691,0.9822263797942001,0.5256380329448755,0.5000527044934342,0.3621182919772565,0.984251968503937,0.5256380329448752,111.28102335858381,88.0,5.0,68.0,68.0,80.0,2.0,68.0
20,15,0.012,30,2,20,30,1.5,1758.3333333333333,43.69369369369369,1.164,0.27777530328321487,2000.0,9.234234234234235,666,"{'1yil.csv': 1400.0, '2yil.csv': 750.0, '3yil.csv': 4000.0}",0.287392138063279,0.8696601184908014,0.7618435204268231,0.7427635224671721,0.6427436911752795,0.9763779527559056,0.7618435204268237,154.0107906425445,59.0,25.0,12.0,12.0,43.0,3.0,12.0
15,20,0.012,30,4,20,25,1.5,1770.0,43.92678868552412,1.175074183976261,0.29846569455929695,2050.0,9.816971713810316,601,"{'1yil.csv': 2650.0, '2yil.csv': 600.0, '3yil.csv': 2650.0}",0.2890699904122723,0.8899282818833801,0.8012099257932757,0.7843912123847646,0.6837599881992694,0.968503937007874,0.801209925793276,161.3110454249018,58.0,19.0,8.0,8.0,33.0,4.0,8.0
15,20,0.012,15,4,20,15,1.5,545.0,42.142857142857146,1.0925925925925926,0.1040506034922775,2200.0,5.357142857142857,280,"{'1yil.csv': 2450.0, '2yil.csv': -550.0, '3yil.csv': -400.0}",0.112895493767977,0.9900218272528843,0.49992944051491295,0.47434415904078175,0.29835465609378087,0.9448818897637795,0.4999294405149121,106.46868335842936,89.0,2.0,72.0,72.0,87.0,5.0,72.0
20,10,0.012,15,4,15,25,1.5,1440.0,44.097995545657014,1.1832669322709164,0.24852285007216687,2450.0,10.244988864142538,449,"{'1yil.csv': 3150.0, '2yil.csv': 100.0, '3yil.csv': 1350.0}",0.24161073825503357,0.9373246024321796,0.8301243121753383,0.8151876291965016,0.5847541010522689,0.905511811023622,0.8301243121753382,165.50965859155332,71.0,10.0,5.0,5.0,49.0,6.0,5.0
15,25,0.012,15,4,20,30,1.5,293.3333333333333,41.12903225806452,1.047945205479452,0.0514123281026531,2550.0,2.8225806451612905,248,"{'1yil.csv': 2100.0, '2yil.csv': -1000.0, '3yil.csv': -400.0}",0.07670182166826461,1.0,0.3287089390706919,0.30651530678759603,0.1940053903209663,0.889763779527559,0.3287089390706911,76.34021120212942,97.0,1.0,91.0,91.0,93.0,7.0,91.0
25,25,0.012,15,2,5,20,1.5,420.0,41.80602006688963,1.0775862068965518,0.10134738552374066,2600.0,4.51505016722408,299,"{'1yil.csv': 700.0, '2yil.csv': 400.0, '3yil.csv': 250.0}",0.09491850431447747,0.9840972871842844,0.44304248309527916,0.4179353823871106,0.29299584051419025,0.8818897637795275,0.44304248309527927,96.12153198473905,93.0,4.0,81.0,81.0,89.0,8.0,81.0
25,25,0.004,30,4,20,30,1.5,3985.0,45.103857566765576,1.2324324324324325,0.4579908115507928,2800.0,12.759643916913946,1011,"{'1yil.csv': 5200.0, '2yil.csv': 5950.0, '3yil.csv': 1750.0}",0.6076222435282839,0.7620829435609604,1.0,1.0,1.0,0.8503937007874016,1.0,199.79754631027566,22.0,48.0,1.0,1.0,1.0,9.0,1.0
25,15,0.012,15,3,5,15,1.5,451.6666666666667,41.687344913151364,1.0723404255319149,0.10504776454148056,2800.0,4.218362282878412,403,"{'1yil.csv': 150.0, '2yil.csv': -350.0, '3yil.csv': 1900.0}",0.0994726749760307,0.9516682257561584,0.42299994948140734,0.3982165696519516,0.3003314120298634,0.8503937007874016,0.42299994948140723,92.19156149543562,91.0,8.0,85.0,85.0,86.0,9.0,85.0
15,15,0.012,30,2,15,25,1.5,1975.0,43.58974358974359,1.1590909090909092,0.2871168564343615,2900.0,8.974358974358974,780,"{'1yil.csv': 1600.0, '2yil.csv': 50.0, '3yil.csv': 5350.0}",0.31855225311601154,0.8341128780792018,0.744287836806811,0.7243103240573426,0.6612622350539419,0.8346456692913385,0.7442878368068103,150.29957310933906,54.0,34.0,16.0,16.0,39.0,11.0,16.0
20,25,0.012,30,4,5,20,1.5,935.0,42.706131078224104,1.118081180811808,0.18274763364634755,2900.0,6.765327695560254,473,"{'1yil.csv': 1200.0, '2yil.csv': 50.0, '3yil.csv': 1950.0}",0.1689837008628955,0.9298409728718429,0.595058340101667,0.5701553762917461,0.45436237584321876,0.8346456692913385,0.5950583401016664,122.84217995848121,81.0,11.0,55.0,55.0,74.0,11.0,55.0
