left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trade_count,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
10,10,0.002,15,2,10,15,1.5,6713.333333333333,42.60492040520984,1.113464447806354,0.40032830498330296,4900.0,6.512301013024602,3455,"{'1yil.csv': 3350.0, '2yil.csv': 14700.0, '3yil.csv': 4450.0}",1.0,0.0,0.5779653071282713,0.552801146815757,0.8856907796009654,0.5196850393700787,0.5779653071282712,119.02277329103563,1.0,100.0,59.0,59.0,12.0,80.0,59.0
15,15,0.004,30,2,15,20,1.5,6546.666666666667,44.19862340216322,1.1881057268722468,0.4378522596995956,4150.0,10.496558505408062,2034,"{'1yil.csv': 7950.0, '2yil.csv': 9700.0, '3yil.csv': 3700.0}",0.9760306807286674,0.44309323355160585,0.8471189157885395,0.8333765848496574,0.9600776605265758,0.6377952755905512,0.8471189157885398,172.59932253189734,2.0,86.0,4.0,4.0,3.0,47.0,4.0
15,10,0.004,15,2,15,25,1.5,5700.0,43.5390549662488,1.1567036720751493,0.4105380421465293,4650.0,8.847637415621987,2074,"{'1yil.csv': 6800.0, '2yil.csv': 10600.0, '3yil.csv': 950.0}",0.8542665388302972,0.43062051761771125,0.7357272543408647,0.7153367362548579,0.9059303974233625,0.5590551181102362,0.7357272543408638,150.65234075803477,3.0,89.0,18.0,18.0,7.0,74.0,18.0
10,10,0.006,30,2,15,15,1.5,5663.333333333333,42.9940119760479,1.1313025210084033,0.3550647468908722,4200.0,7.485029940119761,2505,"{'1yil.csv': 5650.0, '2yil.csv': 8600.0, '3yil.csv': 4500.0}",0.848993288590604,0.29622700342999686,0.6436773002603392,0.6198541939363383,0.7959610341210956,0.6299212598425197,0.6436773002603395,132.5417015781847,4.0,97.0,38.0,38.0,18.0,51.0,38.0
15,15,0.002,30,3,10,30,1.5,5556.666666666667,43.04857621440536,1.1338235294117647,0.4084252613434291,4050.0,7.6214405360134005,2388,"{'1yil.csv': 6550.0, '2yil.csv': 8000.0, '3yil.csv': 3650.0}",0.8336529242569511,0.3327096975366386,0.6528924185639275,0.6293306263596871,0.9017420549309361,0.6535433070866141,0.6528924185639275,135.08548768264725,5.0,95.0,35.0,35.0,9.0,44.0,35.0
25,10,0.002,30,4,20,15,1.5,5546.666666666667,43.33643988816402,1.147203947368421,0.44548876140891736,3900.0,8.341099720410066,2146,"{'1yil.csv': 6400.0, '2yil.csv': 10400.0, '3yil.csv': 1100.0}",0.8322147651006713,0.40816962893670095,0.701508469824709,0.6796274148961124,0.9752161380040815,0.6771653543307087,0.7015084698247093,145.03006049600523,6.0,91.0,25.0,25.0,2.0,38.0,25.0
20,15,0.002,15,4,5,30,1.5,5296.666666666667,43.93329499712478,1.1753846153846155,0.42271702035072417,3950.0,9.83323749281196,1739,"{'1yil.csv': 5900.0, '2yil.csv': 10300.0, '3yil.csv': 900.0}",0.7962607861936721,0.5350795135640786,0.8023087486289818,0.785558119349229,0.9300738068353157,0.6692913385826772,0.8023087486289817,163.5218860263955,7.0,79.0,7.0,7.0,5.0,41.0,7.0
15,25,0.004,30,2,10,15,1.5,5261.666666666667,44.618528610354225,1.2084870848708487,0.4079462422328284,3850.0,11.546321525885558,1468,"{'1yil.csv': 6450.0, '2yil.csv': 9350.0, '3yil.csv': 1150.0}",0.7912272291466923,0.6195821640162146,0.9180348909080591,0.9099898010183567,0.9007924551936282,0.6850393700787402,0.9180348909080585,184.7549769836904,8.0,71.0,2.0,2.0,10.0,36.0,2.0
10,10,0.004,30,4,15,25,1.5,5180.0,42.285520515428956,1.0990011750881317,0.28751470800479967,6300.0,5.713801288572397,2949,"{'1yil.csv': 4200.0, '2yil.csv': 12200.0, '3yil.csv': 450.0}",0.7794822627037392,0.15777985656376675,0.5240232406927074,0.49843392362365996,0.6620509295724171,0.2992125984251969,0.5240232406927077,106.66973449330854,9.0,98.0,70.0,70.0,38.0,93.0,70.0
20,10,0.002,15,4,5,30,1.5,5053.333333333333,42.97558728696453,1.1304523424878836,0.3554914546717742,4850.0,7.438968217411331,2171,"{'1yil.csv': 5950.0, '2yil.csv': 10500.0, '3yil.csv': -300.0}",0.7612655800575263,0.40037418147801684,0.6405656341815831,0.6166583857483349,0.7968069327244804,0.5275590551181102,0.6405656341815826,131.74722175145283,10.0,93.0,39.0,39.0,17.0,77.0,39.0
20,15,0.002,15,2,15,25,1.5,5020.0,43.61065796628603,1.1600771456123433,0.42134202007760896,4500.0,9.026644915715062,1839,"{'1yil.csv': 4850.0, '2yil.csv': 8100.0, '3yil.csv': 3650.0}",0.7564717162032598,0.503897723729342,0.7478199754361775,0.728017572211037,0.9273480285328359,0.5826771653543307,0.7478199754361768,152.594943231318,11.0,84.0,15.0,15.0,6.0,70.0,15.0
15,15,0.002,15,3,5,15,1.5,4998.333333333333,43.0237984134391,1.1326781326781328,0.3840008708945951,4150.0,7.55949603359776,2143,"{'1yil.csv': 6200.0, '2yil.csv': 7950.0, '3yil.csv': 2050.0}",0.7533557046979865,0.40910508263174306,0.6487078028874291,0.6250250973778262,0.8533235383397421,0.6377952755905512,0.648707802887429,133.9886970949802,12.0,90.0,36.0,36.0,15.0,47.0,36.0
15,25,0.004,30,3,5,15,1.5,4890.0,44.38318401102688,1.1970260223048328,0.43556238351541593,3650.0,10.957960027567195,1451,"{'1yil.csv': 5250.0, '2yil.csv': 9000.0, '3yil.csv': 1650.0}",0.7377756471716204,0.6248830682881198,0.8782885590578006,0.86690784033873,0.9555382470149982,0.7165354330708661,0.8782885590578003,177.54026823619796,13.0,70.0,3.0,3.0,4.0,33.0,3.0
