left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trades_per_day,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
10,20,0.01,15,4,15,30,1.5,5800.0,55.26315789473685,1.8529411764705883,0.7815810840978341,1000.0,38.1578947368421,0.41643835616438357,{'1yil.csv': 5800.0},0.5652173913043478,0.09106239460370995,0.9921594795228963,0.9894658338771326,0.7881087098112143,0.9139784946236559,0.992159479522896,87.76916110312402,162.0,858.0,2.0,2.0,10.0,77.0,2.0
10,15,0.01,15,4,20,20,1.5,6100.0,54.87804878048781,1.8243243243243243,0.6965094378765835,1000.0,37.19512195121951,0.44931506849315067,{'1yil.csv': 6100.0},0.5942028985507246,0.1011804384485666,0.9672992926442736,0.9564397995459802,0.7030451263071748,0.9139784946236559,0.9672992926442736,85.85919109744474,132.0,836.0,4.0,4.0,33.0,77.0,4.0
10,15,0.01,15,4,15,15,1.5,6750.0,54.21052631578947,1.7758620689655173,0.7033435799986185,950.0,35.526315789473685,0.5205479452054794,{'1yil.csv': 6750.0},0.6570048309178744,0.12310286677908935,0.924208302054661,0.900510653284029,0.7098786207192176,0.9247311827956989,0.9242083020546613,85.36073704394116,73.0,788.0,9.0,9.0,30.0,58.0,9.0
10,20,0.01,15,4,20,20,1.5,5000.0,55.38461538461539,1.8620689655172413,0.7177832749069951,1050.0,38.46153846153846,0.3561643835616438,{'1yil.csv': 5000.0},0.48792270531400966,0.07251264755480606,1.0,1.0,0.7243169470966931,0.9032258064516129,1.0,85.25928512282688,252.0,902.0,1.0,1.0,20.0,101.0,1.0
10,20,0.01,15,3,20,25,1.5,5350.0,54.36241610738255,1.786764705882353,0.83481728112554,1100.0,35.90604026845637,0.40821917808219177,{'1yil.csv': 5350.0},0.5217391304347826,0.08853288364249577,0.9340133377296077,0.913093129486343,0.8413398613458436,0.8924731182795699,0.9340133377296078,84.1568343205457,214.0,864.0,8.0,8.0,7.0,116.0,8.0
15,20,0.01,15,4,15,30,1.5,4300.0,54.700854700854705,1.8113207547169812,0.6623870315118324,850.0,36.75213675213675,0.32054794520547947,{'1yil.csv': 4300.0},0.42028985507246375,0.06155143338954469,0.9558607736103776,0.9414326864615417,0.6689259539143204,0.946236559139785,0.9558607736103774,81.13312367139036,369.0,938.0,7.0,7.0,55.0,27.0,7.0
10,15,0.01,15,3,20,20,1.5,6100.0,53.2608695652174,1.7093023255813953,0.7093372021555078,950.0,33.15217391304348,0.5041095890410959,{'1yil.csv': 6100.0},0.5942028985507246,0.11804384485666104,0.8629045223822323,0.8236956227963488,0.7158716748269076,0.9247311827956989,0.862904522382232,80.82085113352687,132.0,799.0,14.0,14.0,29.0,58.0,14.0
15,10,0.01,15,4,15,15,1.5,6250.0,53.1578947368421,1.702247191011236,0.662319419745421,950.0,32.89473684210526,0.5205479452054794,{'1yil.csv': 6250.0},0.6086956521739131,0.12310286677908935,0.8562571245864261,0.8155534583355593,0.6688583485558554,0.9247311827956989,0.8562571245864264,80.12660025099623,126.0,788.0,16.0,16.0,56.0,58.0,16.0
15,20,0.01,15,4,20,30,1.5,3750.0,55.00000000000001,1.8333333333333333,0.5914703430440028,1000.0,37.5,0.273972602739726,{'1yil.csv': 3750.0},0.3671497584541063,0.04721753794266441,0.9751716851558376,0.9668368844280096,0.5980159866189385,0.9139784946236559,0.9751716851558373,79.36473770373547,451.0,968.0,3.0,3.0,121.0,77.0,3.0
15,20,0.004,15,4,20,15,1.5,8100.0,49.848024316109424,1.490909090909091,0.9673897644665286,950.0,24.620060790273556,0.9013698630136986,{'1yil.csv': 8100.0},0.7874396135265701,0.24030354131534568,0.6425930118481623,0.571653139957419,0.9738997800487814,0.9247311827956989,0.6425930118481623,78.89836234697576,25.0,506.0,59.0,59.0,3.0,58.0,59.0
10,25,0.01,15,4,20,25,1.5,3900.0,54.71698113207547,1.8125,0.5981431364659371,1100.0,36.79245283018868,0.29041095890410956,{'1yil.csv': 3900.0},0.38164251207729466,0.052276559865092734,0.9569017931006983,0.9427936256383167,0.6046881476228021,0.8924731182795699,0.9569017931006988,78.50788477115707,431.0,956.0,6.0,6.0,108.0,116.0,6.0
10,10,0.01,15,4,20,15,1.5,6650.0,52.9126213592233,1.6855670103092784,0.6193206378237825,1300.0,32.28155339805825,0.5643835616438356,{'1yil.csv': 6650.0},0.6473429951690821,0.13659359190556492,0.840423840516158,0.7963032550743108,0.6258636418700264,0.8494623655913979,0.8404238405161581,78.48503713806667,88.0,749.0,17.0,17.0,86.0,206.0,17.0
10,10,0.01,15,4,20,20,1.5,6650.0,52.9126213592233,1.6855670103092784,0.6193206378237825,1300.0,32.28155339805825,0.5643835616438356,{'1yil.csv': 6650.0},0.6473429951690821,0.13659359190556492,0.840423840516158,0.7963032550743108,0.6258636418700264,0.8494623655913979,0.8404238405161581,78.48503713806667,88.0,749.0,17.0,17.0,86.0,206.0,17.0
20,10,0.01,15,4,15,20,1.5,5250.0,52.72727272727272,1.6730769230769231,0.7135161769321292,900.0,31.818181818181817,0.4520547945205479,{'1yil.csv': 5250.0},0.5120772946859904,0.10202360876897132,0.8284589156221479,0.7818887398919095,0.720050253538643,0.9354838709677419,0.8284589156221485,77.32930503800397,221.0,834.0,20.0,20.0,26.0,36.0,20.0
20,15,0.01,15,4,15,30,1.5,4350.0,53.48837209302325,1.725,0.6462894745263232,800.0,33.72093023255814,0.35342465753424657,{'1yil.csv': 4350.0},0.4251207729468599,0.07166947723440134,0.8775906337915695,0.8418119387216061,0.6528299225846028,0.956989247311828,0.87759063379157,77.0675964294287,361.0,906.0,13.0,13.0,71.0,17.0,13.0
10,25,0.01,15,3,20,15,1.5,4200.0,53.65853658536586,1.736842105263158,0.6894263136661587,1200.0,34.146341463414636,0.336986301369863,{'1yil.csv': 4200.0},0.4106280193236715,0.06661045531197302,0.8885753675286359,0.8554786331915368,0.6959626734041716,0.8709677419354839,0.8885753675286358,76.64799080762317,385.0,923.0,11.0,11.0,37.0,170.0,11.0
10,25,0.01,15,3,20,20,1.5,4200.0,53.65853658536586,1.736842105263158,0.6894263136661587,1200.0,34.146341463414636,0.336986301369863,{'1yil.csv': 4200.0},0.4106280193236715,0.06661045531197302,0.8885753675286359,0.8554786331915368,0.6959626734041716,0.8709677419354839,0.8885753675286358,76.64799080762317,385.0,923.0,11.0,11.0,37.0,170.0,11.0
25,20,0.004,15,4,20,30,1.5,6700.0,50.59288537549407,1.536,0.8714782823290381,850.0,26.48221343873518,0.6931506849315069,{'1yil.csv': 6700.0},0.6521739130434783,0.17622259696458684,0.6906764885818146,0.6236914949815109,0.8779973879805693,0.946236559139785,0.6906764885818149,76.57937594722985,79.0,658.0,43.0,43.0,4.0,27.0,43.0
20,15,0.01,15,4,20,15,1.5,3900.0,54.054054054054056,1.7647058823529411,0.5922454870922463,1000.0,35.13513513513514,0.3041095890410959,{'1yil.csv': 3900.0},0.38164251207729466,0.05649241146711636,0.9141074513499237,0.8876355613560797,0.5987910572024315,0.9139784946236559,0.9141074513499237,76.48007390853248,431.0,952.0,10.0,10.0,120.0,77.0,10.0
15,15,0.012,15,4,20,30,1.5,3100.0,54.761904761904766,1.8157894736842106,0.466783550136334,700.0,36.904761904761905,0.23013698630136986,{'1yil.csv': 3100.0},0.30434782608695654,0.03372681281618887,0.9598017759665939,0.946589929657742,0.4733410109781949,0.978494623655914,0.9598017759665938,76.1623043371905,597.0,981.0,5.0,5.0,300.0,3.0,5.0
15,25,0.01,15,3,10,25,1.5,3900.0,51.908396946564885,1.619047619047619,0.775389565320402,750.0,29.770992366412212,0.3589041095890411,{'1yil.csv': 3900.0},0.38164251207729466,0.0733558178752108,0.7755975207977964,0.7195347940197386,0.7819177778387546,0.967741935483871,0.7755975207977965,72.9170183477324,431.0,898.0,29.0,29.0,12.0,11.0,29.0
15,15,0.01,15,3,20,15,1.5,4450.0,52.44755244755245,1.6544117647058822,0.5974903948590313,900.0,31.11888111888112,0.3917808219178082,{'1yil.csv': 4450.0},0.43478260869565216,0.08347386172006745,0.8104019593718482,0.7603477207047636,0.6040354678798807,0.9354838709677419,0.8104019593718484,72.80983457101455,347.0,874.0,23.0,23.0,110.0,36.0,23.0
10,20,0.01,15,3,10,20,1.5,5400.0,51.02040816326531,1.5625,0.7973284851307072,1200.0,27.551020408163264,0.536986301369863,{'1yil.csv': 5400.0},0.5265700483091788,0.1281618887015177,0.7182746315641947,0.6542745201620004,0.80385461837454,0.8709677419354839,0.7182746315641946,72.52989460853352,210.0,765.0,35.0,35.0,8.0,170.0,35.0
10,20,0.01,15,3,10,15,1.5,5400.0,51.02040816326531,1.5625,0.7973284851307072,1200.0,27.551020408163264,0.536986301369863,{'1yil.csv': 5400.0},0.5265700483091788,0.1281618887015177,0.7182746315641947,0.6542745201620004,0.80385461837454,0.8709677419354839,0.7182746315641946,72.52989460853352,210.0,765.0,35.0,35.0,8.0,170.0,35.0
15,10,0.012,15,3,20,25,1.5,4050.0,52.27272727272727,1.6428571428571428,0.6070028750764187,750.0,30.681818181818183,0.36164383561643837,{'1yil.csv': 4050.0},0.3961352657004831,0.07419898819561552,0.7991163617154108,0.747012804065102,0.6135470465461476,0.967741935483871,0.7991163617154109,71.92928958841009,409.0,896.0,24.0,24.0,102.0,11.0,24.0
15,10,0.002,15,4,20,30,1.5,10300.0,46.17691154422789,1.286908077994429,0.8369409539272901,1500.0,15.442278860569715,1.8273972602739725,{'1yil.csv': 10300.0},1.0,0.5252951096121417,0.40560939815353836,0.3362203809078162,0.8434633328752073,0.8064516129032258,0.4056093981535381,71.8677854798497,1.0,76.0,235.0,235.0,6.0,280.0,235.0
15,10,0.012,15,4,20,25,1.5,3600.0,53.21100917431193,1.7058823529411764,0.46956360349614523,800.0,33.027522935779814,0.29863013698630136,{'1yil.csv': 3600.0},0.3526570048309179,0.05480607082630691,0.8596858537247322,0.8197487130087111,0.4761208008567516,0.956989247311828,0.8596858537247318,71.75711745703795,478.0,955.0,15.0,15.0,292.0,17.0,15.0
25,15,0.01,15,4,15,30,1.5,3550.0,52.67857142857143,1.669811320754717,0.5724926469531502,800.0,31.696428571428573,0.30684931506849317,{'1yil.csv': 3550.0},0.34782608695652173,0.05733558178752108,0.8253150705607124,0.7781199852485323,0.5790400891508196,0.956989247311828,0.8253150705607124,71.41482276123588,493.0,949.0,22.0,22.0,129.0,17.0,22.0
20,20,0.004,15,3,20,20,1.5,6700.0,48.42767295597484,1.4085365853658536,0.9934924583164939,1150.0,21.069182389937108,0.8712328767123287,{'1yil.csv': 6700.0},0.6521739130434783,0.23102866779089376,0.5509041918753964,0.476588973496708,1.0,0.8817204301075269,0.5509041918753966,71.16519604743536,79.0,522.0,90.0,90.0,1.0,141.0,90.0
20,20,0.004,15,3,20,25,1.5,6700.0,48.42767295597484,1.4085365853658536,0.9934924583164939,1150.0,21.069182389937108,0.8712328767123287,{'1yil.csv': 6700.0},0.6521739130434783,0.23102866779089376,0.5509041918753964,0.476588973496708,1.0,0.8817204301075269,0.5509041918753966,71.16519604743536,79.0,522.0,90.0,90.0,1.0,141.0,90.0
25,25,0.004,15,4,20,25,1.5,5450.0,50.0,1.5,0.8613483891131072,1050.0,25.0,0.5972602739726027,{'1yil.csv': 5450.0},0.5314009661835749,0.14671163575042157,0.6524035921817221,0.5821447437929214,0.8678684548314527,0.9032258064516129,0.6524035921817221,70.9614046624279,201.0,730.0,47.0,47.0,5.0,101.0,47.0
20,15,0.004,15,4,20,20,1.5,7500.0,48.69565217391305,1.423728813559322,0.7413081529763632,1050.0,21.73913043478261,0.9452054794520548,{'1yil.csv': 7500.0},0.7294685990338164,0.25379426644182124,0.5682032201015182,0.4941219658509943,0.7478395955813791,0.9032258064516129,0.5682032201015181,70.46120919911658,37.0,468.0,82.0,82.0,16.0,101.0,82.0
15,20,0.004,15,2,20,15,1.5,8450.0,48.18401937046005,1.394859813084112,0.7391455924894308,1600.0,20.46004842615012,1.1315068493150684,{'1yil.csv': 8450.0},0.821256038647343,0.3111298482293423,0.5351754712468134,0.46080493307858267,0.7456772400524372,0.7849462365591398,0.5351754712468134,69.69463613537788,18.0,355.0,101.0,101.0,17.0,312.0,101.0
25,20,0.01,15,4,15,20,1.5,2850.0,52.80898876404494,1.6785714285714286,0.5409137459139997,900.0,32.02247191011236,0.24383561643835616,{'1yil.csv': 2850.0},0.28019323671497587,0.03794266441821247,0.8337339814930225,0.7882298191331473,0.5474641810212957,0.9354838709677419,0.8337339814930228,69.42136211966127,652.0,978.0,19.0,19.0,190.0,36.0,19.0
20,20,0.004,15,2,15,30,1.5,7500.0,48.21917808219178,1.3968253968253967,0.7768597643255747,1450.0,20.54794520547945,1.0,{'1yil.csv': 7500.0},0.7294685990338164,0.2706576728499157,0.537445093314229,0.4630733669296796,0.7833878375049189,0.8172043010752689,0.537445093314229,68.41479792207109,37.0,427.0,99.0,99.0,11.0,263.0,99.0
