open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-01 01:15:00+03:00,93753.40,93819.90,93558.90,93715.50,864.088,2025-01-01 01:29:59.999000+03:00,80930373.51580,13523,304.531,28523992.55870,0
2025-01-01 01:30:00+03:00,93715.50,93822.10,93590.00,93760.00,452.131,2025-01-01 01:44:59.999000+03:00,42362542.90220,10663,219.321,20551434.75620,0
2025-01-01 01:45:00+03:00,93759.90,93774.50,93343.40,93469.10,1101.896,2025-01-01 01:59:59.999000+03:00,103073985.15630,21429,566.792,53019620.94540,0
2025-01-01 02:00:00+03:00,93469.10,93736.90,93356.60,93687.30,1187.226,2025-01-01 02:14:59.999000+03:00,111000097.55090,28282,684.324,63979548.39070,0
2025-01-01 02:15:00+03:00,93687.20,93725.00,93563.60,93702.00,458.254,2025-01-01 02:29:59.999000+03:00,42913600.63440,13621,232.878,21808214.81070,0
2025-01-01 02:30:00+03:00,93702.10,93715.40,93424.40,93478.40,746.116,2025-01-01 02:44:59.999000+03:00,69759493.06620,17888,311.404,29114214.76950,0
2025-01-01 02:45:00+03:00,93478.50,93690.80,93457.40,93548.90,645.350,2025-01-01 02:59:59.999000+03:00,60383742.14250,15595,386.032,36120641.48560,0
2025-01-01 03:00:00+03:00,93548.80,93690.00,93460.20,93631.20,988.149,2025-01-01 03:14:59.999000+03:00,92462034.27860,22328,371.941,34807041.45550,0
2025-01-01 03:15:00+03:00,93631.20,93885.00,93588.00,93743.30,1073.305,2025-01-01 03:29:59.999000+03:00,100623114.90620,22402,615.288,57685681.87700,0
2025-01-01 03:30:00+03:00,93743.40,93948.70,93743.30,93857.10,1181.898,2025-01-01 03:44:59.999000+03:00,110943251.17040,22443,670.845,62968541.61050,0
2025-01-01 03:45:00+03:00,93857.10,94449.20,93834.80,94363.60,2501.257,2025-01-01 03:59:59.999000+03:00,235587514.10940,38090,1620.260,152595516.59970,0
2025-01-01 04:00:00+03:00,94363.60,94363.70,93882.70,94116.30,1675.921,2025-01-01 04:14:59.999000+03:00,157664786.06800,30072,702.626,66098565.11950,0
2025-01-01 04:15:00+03:00,94116.30,94116.40,93800.00,93800.00,821.403,2025-01-01 04:29:59.999000+03:00,77151017.48470,16877,221.201,20775611.04480,0
2025-01-01 04:30:00+03:00,93800.00,93968.80,93796.30,93892.10,476.819,2025-01-01 04:44:59.999000+03:00,44776919.98030,13933,213.213,20021576.66770,0
2025-01-01 04:45:00+03:00,93892.20,93931.80,93545.00,93588.00,1017.321,2025-01-01 04:59:59.999000+03:00,95298037.14850,22272,386.550,36206832.26370,0
2025-01-01 05:00:00+03:00,93587.90,93784.50,93561.80,93768.00,832.835,2025-01-01 05:14:59.999000+03:00,78027617.12190,21336,432.565,40526993.05380,0
2025-01-01 05:15:00+03:00,93767.90,93771.40,93656.90,93719.60,390.461,2025-01-01 05:29:59.999000+03:00,36586423.38770,11481,209.727,19650791.46000,0
2025-01-01 05:30:00+03:00,93719.90,93910.80,93708.30,93907.30,488.241,2025-01-01 05:44:59.999000+03:00,45804883.17010,13190,321.112,30125307.22550,0
2025-01-01 05:45:00+03:00,93907.40,94082.40,93886.80,94064.40,585.699,2025-01-01 05:59:59.999000+03:00,55054815.13950,14989,337.410,31714868.90540,0
2025-01-01 06:00:00+03:00,94064.40,94070.20,93925.90,93938.20,651.660,2025-01-01 06:14:59.999000+03:00,61239782.52450,14947,249.641,23457369.95860,0
2025-01-01 06:15:00+03:00,93938.20,93938.30,93736.10,93800.00,510.835,2025-01-01 06:29:59.999000+03:00,47926994.69190,11746,167.423,15706582.56630,0
2025-01-01 06:30:00+03:00,93800.00,93861.80,93768.00,93821.60,369.275,2025-01-01 06:44:59.999000+03:00,34642535.66440,9124,239.018,22423099.90260,0
2025-01-01 06:45:00+03:00,93821.60,93850.60,93692.60,93810.00,396.940,2025-01-01 06:59:59.999000+03:00,37224044.04980,8855,212.270,19907712.64910,0
2025-01-01 07:00:00+03:00,93810.00,93810.10,93652.00,93686.50,745.398,2025-01-01 07:14:59.999000+03:00,69854901.80500,14533,232.293,21768975.44880,0
2025-01-01 07:15:00+03:00,93686.40,93750.00,93640.30,93710.30,405.773,2025-01-01 07:29:59.999000+03:00,38015294.17500,9952,217.358,20364053.39110,0
2025-01-01 07:30:00+03:00,93710.30,93710.30,93589.00,93613.60,512.473,2025-01-01 07:44:59.999000+03:00,47984533.80950,10319,195.302,18285357.32620,0
2025-01-01 07:45:00+03:00,93613.70,93653.00,93502.00,93545.00,577.972,2025-01-01 07:59:59.999000+03:00,54094162.68020,12168,248.352,23246577.68750,0
2025-01-01 08:00:00+03:00,93544.90,93660.00,93520.30,93612.70,542.013,2025-01-01 08:14:59.999000+03:00,50721971.88130,10736,287.316,26888777.87450,0
